Pipeline Name,Pipeline ID,Author Name,Execution Count,Last Run,Template Used
"Blank Pipeline Template 3","698377300d76ab5d2e9e1898","Jay Jay","0","N/A","blank_pipeline_template"
"Blank Pipeline Template 2","6983771ad224d6ebdbdc0dd9","Jay Jay","0","N/A","blank_pipeline_template"
"Blank Pipeline Template 1","69837608dfddf8509f9bf01c","Jay Jay","0","N/A","blank_pipeline_template"
"DS - Salesforce Package Creation Pipeline","69836c47dfddf8509f9be503","Dammu Srinivasulu2","13","2026-02-10T11:53:24.696Z","blank_pipeline_template"
"NC_LB","6982aabedfddf8509f9b2534","Chandru Nallasivam2","13","2026-02-04T05:00:10.806Z","blank_pipeline_template"
"s2-liquibase pipeline","69823e629c4e78bd1b694f68","Sonu Saini2","1","2026-02-03T18:35:20.536Z","blank_pipeline_template"
"Yogeh-snowflake","69821008c3096a65f7f76faf","Yogesh.Kasare Proton","3","2026-02-04T08:21:18.072Z",""
"Blank Pipeline Template 22","69820edbdfddf8509f9ac3f8","Yogesh.Kasare Proton","1","2026-02-03T15:35:18.642Z","blank_pipeline_template"
"cohtest-prasanna","6981f614dfddf8509f9a9c10","Jay Jay","1","2026-02-03T13:21:31.461Z","N/A"
"GHA+sonar -20492","69807aefd224d6ebdbd94d27","Priyadarsini P","3","2026-02-05T17:23:36.338Z","blank_pipeline_template"
"cohtest-prasanna-for-test-tempalte","698038ad0d76ab5d2e9b0d74","Prasanna Ramachadran","0","N/A","N/A"
"approval_api","697f42bd91d55a44a2812261","Prasanna Ramachadran","0","N/A","N/A"
"{{$name}}","697f3b6391d55a44a28120d4","Prasanna Ramachadran","0","N/A","N/A"
"{{$name}}","697f3b6191d55a44a28120c8","Prasanna Ramachadran","0","N/A","N/A"
"Approval - Parallel - QA","697cc2c6d224d6ebdbd83b6d","Pradeep Marri","12","2026-02-06T18:00:28.729Z","blank_pipeline_template"
"QA","697ca60b9c4e78bd1b6658ce","Arun muchalambi","0","N/A","opsera_data_management"
"poweruser pipeline","697c6be691d55a44a280a52e","QA Power User PROD","1","2026-01-30T08:39:29.302Z","N/A"
"Security prod manager pipeline","697c4b8daecf7dc2bf429512","QA Security Manager PROD","1","2026-01-30T06:19:13.507Z","N/A"
"Copy of yk test- POST OPL","697c14c1606efb5e55636ae6","Yogesh.Kasare Proton","2","2026-01-30T02:33:30.016Z","blank_pipeline_template"
"Copy of REG_OPL-30982_Runtime paramupdate pipeline","697b9a4e45d2e803d9f8f875","Keerthiga Thulasiram","1","2026-01-29T17:37:05.832Z","blank_pipeline_template"
"Blank Pipeline Template 3","697b9652eef538f32851140d","Priyadarsini P","0","N/A","blank_pipeline_template"
"AWS Lambda Publish/OPL-31095","697b925e9820700ed3757236","Priyadarsini P","14","2026-01-30T14:02:57.527Z","blank_pipeline_template"
"encrypted param value vanishes in cloned pipeline","697b6691eef538f32850d590","Keerthiga Thulasiram","0","N/A","blank_pipeline_template"
"Nagalakshmi_Workday_Parametrization","697b52319820700ed375209b","Nagalakshmi 2000","21","2026-02-18T06:37:20.993Z","blank_pipeline_template"
"Blank Pipeline Template 24","697b42b3a067bdc67a7c80bd","Nagalakshmi 2000","0","N/A","blank_pipeline_template"
"Update SDLC user pipeline","697b2b4f91d55a44a2806bfd","QA User PROD","0","N/A","N/A"
"test-OPL-30982","697b0d5e4291030383bcf447","Priyadarsini P","1","2026-01-29T07:46:58.029Z","blank_pipeline_template"
"REG_OPL-30982_Runtime paramupdate pipeline","697af505a067bdc67a7bfd3c","Keerthiga Thulasiram","3","2026-01-29T17:34:16.860Z","blank_pipeline_template"
"Copy of test-30982","697aeed84291030383bcc825","Priyadarsini P","2","2026-01-29T07:18:05.183Z","blank_pipeline_template"
"test-30982","697ae5ea90df941bc22e94fa","Priyadarsini P","1","2026-01-29T05:10:57.149Z","blank_pipeline_template"
"Test - GitCustodianBB,GitHub,Gitlab_DO NOT DELETE","697ae556eef538f328501297","Priyadarsini P","0","N/A","N/A"
"Copy of yk test-test1","697ad873eef538f328500c7c","Yogesh.Kasare Proton","2","2026-01-29T03:59:22.507Z","blank_pipeline_template"
"Copy of yk test-newe","697ac9bb4291030383bcb48e","Yogesh.Kasare Proton","1","2026-01-29T02:47:06.931Z","blank_pipeline_template"
"UAT again MCP","6979d3dbaecf7dc2bf42262b","QA Admin PROD","0","N/A","N/A"
"mahesh_Prod_pipeline","6979cf9a91d55a44a2802e37","QA Admin PROD","0","N/A","N/A"
"Job Engine SFDX_Swapnali","6979ceb1cd7a6305718700e4","Swapnali Mohite","3","2026-01-29T06:17:10.322Z",""
"MCP_Basic SDLC Pipeline with Build Step","6979c69591d55a44a2802c8e","QA User-Production","0","N/A","N/A"
"JOBENIGNE INACTIVITY TIMEOUT - PRABA","697993bce97fe2b37c90621a","QA Admin PROD","2","2026-02-12T09:48:40.806Z","blank_pipeline_template"
"Swap QA to Dev Back merge","6978db98478b826c33835f3a","Swapnali Mohite","6","2026-02-04T10:15:43.255Z","N/A"
"Copy of APM","6978c853084492d18d11458f","Keerthiga Thulasiram","1","2026-01-27T14:18:32.774Z",""
"QA_PRODQA_Validation","69787a0ee97fe2b37c8f6a57","Arun muchalambi","2","2026-01-27T13:27:19.003Z","N/A"
"Copy of yk test-POST OPL","69785dcb084492d18d10ba09","Yogesh.Kasare Proton","2","2026-01-27T06:44:19.310Z","blank_pipeline_template"
"Copy of yk test-33","697825d3798e2392c9362dd0","Yogesh.Kasare Proton","1","2026-01-27T02:43:06.367Z","blank_pipeline_template"
"Sonar_Node /OPL-30772/priya/22jan26","6974a5e7cd7a63057184c3f8","Priyadarsini P","3","2026-01-24T11:34:09.221Z",""
"Copy of Sonar_Node /OPL-30772/priya","69748817e97fe2b37c8e6cbc","Priyadarsini P","5","2026-01-24T10:50:17.732Z",""
"Sonar_Node /OPL-30772/priya","69748646e97fe2b37c8e6bd4","Priyadarsini P","1","2026-01-24T08:47:53.828Z",""
"Copy of Copy of Copy of_Sonar_Node /OPL-30772","69747fa9d3cd90860f168941","Priyadarsini P","1","2026-01-24T08:19:46.846Z",""
"Copy of Copy of_Sonar_Node /OPL-30772","697470e4478b826c3381d6e6","Priyadarsini P","1","2026-01-24T07:17:05.409Z",""
"Copy of_Sonar_Node /OPL-30772","69746116084492d18d0fca9c","Priyadarsini P","5","2026-01-24T07:12:29.802Z",""
"Copy of REG_SCH_Jenkins custom job-OPL-30772","69744ec6d3cd90860f1676c4","Priyadarsini P","5","2026-01-24T06:04:12.215Z","blank_pipeline_template"
"REG_SCH_GITHUB Dynamic PRapprove DO NOT DELETE","6973f34cd3cd90860f165a33","Priyadarsini P","3","2026-02-06T06:17:53.314Z","N/A"
"REG_SCH_GITHUB Dynamic PRcreate DO NOT DELETE","6973f30ccd7a630571848710","Priyadarsini P","21","2026-02-18T11:29:17.785Z","N/A"
"Copy of REG_Azure Webhook PUSH DO NOT DELETE","6973cbbe798e2392c9352744","Priyadarsini P","2","2026-01-23T19:43:53.907Z",""
"QA_GitToOrg_DestructiveFlow","6973c2fbe97fe2b37c8e1c53","Arun muchalambi","7","2026-02-14T09:27:02.890Z","N/A"
"QA_Git2Git_Deploy_ReplaceChangesToggleFalse","6973a485084492d18d0f669b","Arun muchalambi","5","2026-02-14T09:09:40.030Z","N/A"
"QA_OrgToOrg_ComponentFailureCase_ReplaceChangesFalse","6973a08e478b826c3381565a","Arun muchalambi","2","2026-01-23T19:31:54.703Z","N/A"
"QA_OrgToOrg_ComponentFailureCase_ReplaceChangesTrue","69739bf5d3cd90860f160f00","Arun muchalambi","3","2026-01-27T03:31:50.775Z","N/A"
"QA_Git2GitDeployReplaceChangesToggleTrue","69739412084492d18d0f507e","Arun muchalambi","2","2026-01-23T17:36:30.615Z","N/A"
"QA_GitToOrgAndGit_ReplaceChangesToggleTrue","697392a0478b826c33814394","Arun muchalambi","2","2026-01-23T16:08:26.808Z","N/A"
"Azure Devops - 28720","69738d5a084492d18d0f4990","Priyadarsini P","7","2026-01-23T20:12:46.414Z","blank_pipeline_template"
"QA_JobEngine_OpseraDev_SandboxOrg_DND","697372d1084492d18d0f2c89","Arun muchalambi","1","2026-01-23T13:15:18.719Z","blank_pipeline_template"
"QA_OrgToGit_Replace Changes Toggle False","697360fad3cd90860f15c1c0","Arun muchalambi","5","2026-02-14T09:14:24.834Z","N/A"
"Copy_of_test_8","697359a0084492d18d0f0203","QA Admin PROD","0","N/A","N/A"
"test_8","6973541d91d55a44a27f12e2","QA Admin PROD","0","N/A","N/A"
"DevSecOps Pipeline with Vishnu","697270230c20017f9e57508e","QA User-Production","0","N/A","N/A"
"KAL_AWS Lambda Publish","6971d48981476399a2397458","Kyasa Abhilash","13","2026-02-02T15:56:11.928Z","N/A"
"QA_API_automation_2026-01-22_1769061956893","6971be44e8163279be67a0a1","QA User-Production","0","N/A","N/A"
"Copy of yk test-2","697193f7fd1904716802f7a3","Yogesh.Kasare Proton","1","2026-01-22T03:07:10.719Z","blank_pipeline_template"
"Copy of Pipeline Parameter - Test - 2","696f489425443fd17c992324","Shailesh Kolap","0","N/A","blank_pipeline_template"
"Copy of Pipeline Parameter - Test","696f42091c8ee69c018b8a71","Shailesh Kolap","1","2026-01-20T08:52:33.603Z","blank_pipeline_template"
"Pipeline Parameter - Test","696f415125443fd17c99190f","Shailesh Kolap","1","2026-01-20T08:51:33.108Z","blank_pipeline_template"
"Salesforce_Pipeline","696f2193258622143c8ae3ac","Yogesh.Kasare Proton","0","N/A","N/A"
"IOS BUILD NEW PIPELINE","696f02ae258622143c8ac67e","Kyasa Abhilash","0","N/A","blank_pipeline_template"
"s2-test-3494","696e644a1c8ee69c018b1e74","Sonu Saini2","0","N/A","blank_pipeline_template"
"NC_IOS","696e4a35864e3fced82bebd7","Chandru Nallasivam2","0","N/A","blank_pipeline_template"
"KAL IOS BUILD PIPELINE","696e4a0e6061f90e92e70cb0","Kyasa Abhilash","0","N/A","blank_pipeline_template"
"Main_Pipeline_PostStep_Usecase","696e16fb258622143c8a4bc8","Kyasa Abhilash","0","N/A","blank_pipeline_template"
"approval_api","696e0d3455b25acfac9eef41","Kyasa Abhilash","0","N/A","N/A"
"kal_test","696e0d05e8163279be66fef3","Kyasa Abhilash","0","N/A","N/A"
"Copy of yk test","696ddecd864e3fced82b5f0c","Yogesh.Kasare Proton","4","2026-01-19T07:46:23.931Z","blank_pipeline_template"
"KAL Argo Rollback Kustomize","696a319a6061f90e92e57f0d","Kyasa Abhilash","0","N/A","N/A"
"Service now yk","696a0dd26061f90e92e54087","Yogesh.Kasare Proton","8","2026-02-09T05:21:21.868Z","blank_pipeline_template"
"yk test","6969f5e425443fd17c96a305","Yogesh.Kasare Proton","0","N/A","blank_pipeline_template"
"KAL - Master Pipeline ","6969d79b864e3fced829cd08","Kyasa Abhilash","0","N/A","blank_pipeline_template"
"QA_GitToOrg_JobEngine_Azure","6968e2e625443fd17c95ee27","Arun muchalambi","9","2026-01-30T07:52:32.082Z","blank_pipeline_template"
"s2-script-test","6967c06b864e3fced8288207","Sonu Saini2","2","2026-01-14T16:30:44.173Z","blank_pipeline_template"
"Copy of KAL - WORKDAY - 3454","69676f2bfac15ccb345408a8","Kyasa Abhilash","2","2026-01-14T10:55:25.604Z","blank_pipeline_template"
"Srinivasan_Oracle_Fusion_Pull_Test_14012026","696740ce84526e68c83785cd","Keerthiga Thulasiram","3","2026-01-14T07:39:59.848Z","blank_pipeline_template"
"REG_Docker Native_Bitbucket_Praba","6966332109bf061a57fead5a","QA Admin PROD","3","2026-01-23T10:29:41.625Z","blank_pipeline_template"
"KAL - WORKDAY - 3454","69661df409bf061a57fe84c0","Kyasa Abhilash","5","2026-01-14T10:48:00.888Z","blank_pipeline_template"
"Swetha_Workday_Usecase","6965de7e7009657f69553f65","Swetha Kanuri2","12","2026-01-14T07:23:18.582Z","blank_pipeline_template"
"S2 TEST","6965718e7009657f69550594","Sonu Saini2","2","2026-01-12T22:18:16.510Z","blank_pipeline_template"
"Copy of s2 github repo creation","69654a2c09bf061a57fdc9c5","Sonu Saini2","10","2026-01-12T22:37:54.714Z","blank_pipeline_template"
"s2 github repo creation","6965342dddefc69f2edd0cf9","Sonu Saini2","4","2026-02-04T20:30:37.277Z","blank_pipeline_template"
"REG_Docker Native_Bitbucket","69652bb1c413bf3c8ea5647b","Keerthiga Thulasiram","9","2026-01-23T10:24:22.018Z","blank_pipeline_template"
"KAL NATIVE DOCKER BUILD","696528067009657f6954bde7","Kyasa Abhilash","5","2026-01-13T05:11:35.443Z","blank_pipeline_template"
"Nexus Archival - D","6964f2054a14f97a81d1dd17","Kyasa Abhilash","14","2026-01-23T16:59:21.709Z","blank_pipeline_template"
"QA_API_automation_2026-01-12_1768211890930","6964c5b3e8163279be656825","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-01-12_1768211887293","6964c5af55b25acfac9d57f8","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-01-12_1768211883558","6964c5abe8163279be65680e","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-01-12_1768210518817","6964c056e8163279be656715","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-01-12_1768210515498","6964c05355b25acfac9d56ed","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-01-12_1768210512538","6964c050e8163279be6566ff","QA User-Production","0","N/A","N/A"
"Salesforce_Pipeline_Swetha","6964b021f130d160cfbf438b","Swetha Kanuri2","0","N/A","N/A"
"swetha test","6964aedc55b25acfac9d53f4","Swetha Kanuri2","21","2026-02-09T05:11:47.989Z","N/A"
"QA_API_automation_2026-01-12_1768205685471","6964ad7555b25acfac9d5364","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-01-12_1768205682395","6964ad72e8163279be65637f","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-01-12_1768205679436","6964ad6f55b25acfac9d5347","QA User-Production","0","N/A","N/A"
"QA_JobEngine_NokiaOrg_DND1","6964a9884a14f97a81d1491b","Arun muchalambi","2","2026-01-12T11:48:08.022Z","blank_pipeline_template"
"Copy of Nexus Archival Script","6964a767dde6ea7d7bf3a33c","Kyasa Abhilash","6","2026-01-12T08:43:31.514Z","blank_pipeline_template"
"Copy_of_Test__1","696489ab4a14f97a81d11ec4","QA Admin PROD","0","N/A","N/A"
"Test__1","6964815ee8163279be655c0d","QA Admin PROD","0","N/A","N/A"
"Junit Maven Native Test/OPL-30447","69635a62278f6cd9bbd6f441","Priyadarsini P","2","2026-01-11T08:49:07.509Z","blank_pipeline_template"
"Reg_Jenkins custom job/10jan26","69633a287bb27f2590963db9","Keerthiga Thulasiram","3","2026-01-23T10:17:37.722Z","blank_pipeline_template"
"APM","69624ea5a70722f64290fc66","Shailesh Kolap","4","2026-01-27T14:07:01.152Z",""
"REG_SCH_XUnit Native_DO NOT DELETE","69623b4825f0aea264fb192e","Keerthiga Thulasiram","45","2026-02-19T12:10:26.762Z","blank_pipeline_template"
"REG_APM_Helm AWS-Azure_DO NOT DELETE","69622faf25f0aea264fb1467","Keerthiga Thulasiram","12","2026-01-23T10:22:17.611Z",""
